content,source,category,type
"【質問】電話で問い合わせはできますか？
【回答】大変恐れ入りますが、yeniではお問い合わせのやり取りを記録に残すためチャットでのサポート対応を行っております。お電話での対応は行っていないため番号のご案内はできかねますこと、ご了承ください。","faq","general","question_answer"
"【質問】カスタマーサポートの営業時間はいつですか？
【回答】営業時間は平日10:00〜18:00です。土日祝日等、営業時間外のお問い合わせの対応はいたしかねます。なお、お客さまとのやりとりを記録を残すためにもサポート対応はチャットで行っております。お電話での対応はできませんのでご注意ください。※いただいたお問い合わせは2営業日以内に回答をお送りいたします。","faq","general","question_answer"
"【質問】取材やリースの依頼はできますか？
【回答】[メディア掲載・取材・リースをご希望の方]以下のメールアドレス宛にご連絡くださいませ。yeni-cs@newn.co","faq","general","question_answer"
"【質問】アカウント情報の変更はできますか？
【回答】住所のみ、お客さまご自身で変更が可能です。アカウント管理画面にログインの上、任意の住所へご変更ください。※お名前、電話番号、メールアドレスの変更をご希望の場合はこちらよりお知らせください。※クレジットカード決済の請求先情報は変更できません。","faq","general","question_answer"
"【質問】退会はできますか？
【回答】お客さまご自身では退会手続きができかねます。退会をご希望の場合は、恐れ入りますがこちらよりお知らせください。","faq","general","question_answer"
"【質問】注文と異なる商品が届きました
【回答】ご注文と異なる商品が届いた場合は、誠に申し訳ございませんが、商品到着から【7日以内】にこちらより届いた商品の写真データとあわせてご連絡いただけますでしょうか。早急に正しい商品を手配いたします。※販売状況により交換いたしかねる場合、返金にてご対応いたします。","faq","shipping","question_answer"
"【質問】届いた商品に破損・汚損がありました
【回答】商品に破損や汚損が見受けられる場合は、到着から【7日以内】にこちらより不良箇所の写真データとあわせて詳細な内容をお知らせください。問題箇所の確認ができましたら返品・交換手続きを進めさせていただきます。※到着後7日以上経過している場合は返品・交換を承ることができかねます。","faq","general","question_answer"
"【質問】返品・交換はできますか？
【回答】色やデザインがイメージと違う、好みではないなど、お客さま都合による返品・交換はできません。

【ブラジャーのサイズ交換】単品でお求めいただいたブラジャーのみサイズ交換を承ります。配送完了後7日以内にチャットボタンよりご連絡ください。※ブラとショーツのセットなどセット商品のブラは対象外です。

【ショーツの返品・交換】不良品・お届け間違いを除いて、返品・交換を承っておりません。直接肌に触れる衛生商品のためご了承ください。","faq","returns","question_answer"
"【質問】領収書のPDFデータが開けません
【回答】発送完了メールには領収書のPDFデータのダウンロードリンクを記載しておりますが、ご利用の環境によってはデータが正しく表示されない恐れがございます。ご利用の端末や環境にあわせて適切なPDFビューアをインストールして再度お試しください。","faq","general","question_answer"
"【質問】領収書は発行できますか？
【回答】yeniでは発送完了メールへ領収書のダウンロードリンクを記載しております。リンク先より領収書のPDFデータをダウンロードしてお使いいただけます。なお、領収書の宛名へは自動的に購入者さまのお名前が入力される仕様です。別の宛名への変更はできかねます。","faq","general","question_answer"
"【質問】CTとは何ですか？
【回答】CTとは【Comsumption Tax】のイニシャルで【消費税】を意味しております。商品価格は内税表示ですので、消費税が追加で加算されているということはございません。","faq","general","question_answer"
